post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49799083,"9 Ads per Minute: FIFA Cup 26 – ""the price of the beautiful game""",sports,178,216,KellyCriterion,2026-09-23 20:25:42,1.2067039106145252,True
49791978,Microsoft patents system to freeze games and inject ads during downtimes,sports,43,18,ricobecks,2026-09-23 20:25:42,0.4090909090909091,False
49781194,"The addiction of online sports gambling: ""Like crack in the '80s""",sports,28,23,dzonga,2026-09-23 20:25:42,0.7931034482758621,False
49780807,"30 years after Civ2, Eivind IV built his own 4X game (Genesis)",sports,6,3,JohnHammersley,2026-09-23 20:25:42,0.42857142857142855,False
49788220,A study of sequence weighting at scale,science,14,1,pranitha_m,2026-09-23 20:25:44,0.06666666666666667,False
49775082,The Millennium Problems for Biology,science,163,119,artninja1988,2026-09-23 20:25:44,0.725609756097561,True
49791939,NASA’s Mars Sample Return mission is dead,science,447,384,Muhammad523,2026-09-23 20:25:44,0.8571428571428571,True
49746626,How SpaceX streamlined the Raptor engine,science,246,125,JumpCrisscross,2026-09-23 20:25:44,0.5060728744939271,True
49803684,Study Sessions Should Be Short and Frequent as Opposed to Long and Sparse,science,18,2,gmays,2026-09-23 20:25:44,0.10526315789473684,False
49763379,NASA-IBM Lunar Foundation open-Source Geospatial AI Model,science,53,6,noobplus,2026-09-23 20:25:44,0.1111111111111111,False
49798451,"Study: Young users (9 to 18Y) ditch Google for AI, with unknown consequences",science,66,119,giuliomagnifico,2026-09-23 20:25:44,1.7761194029850746,False
49753878,An empirical study of harness design for coding agents,science,225,59,wek,2026-09-23 20:25:44,0.2610619469026549,True
49742714,Whoisinspace.com/,science,137,90,Egg-Man,2026-09-23 20:25:44,0.6521739130434783,True
49735979,"Jev Ultrafast: A browser agent with a dynamic, indexed action space",science,92,14,rahimnathwani,2026-09-23 20:25:44,0.15053763440860216,False
49815168,"Show HN: Ive Sent It – online courier for files, with signed proof of delivery",entertainment,14,11,ivesentit,2026-09-23 20:25:46,0.7333333333333333,False
49800513,Show HN: Npunlock – Run custom C kernels for Intel NPUs,entertainment,50,12,hsfzxjy,2026-09-23 20:25:46,0.23529411764705882,False
49800574,"Show HN: JevBench, a reproducible benchmark for typed decision models",entertainment,124,34,florianstandhar,2026-09-23 20:25:46,0.272,False
49801329,Show HN: Drop – A rootless Linux sandbox with gVisor support,entertainment,177,59,mixedbit,2026-09-23 20:25:46,0.33146067415730335,True
49813253,Ju Ju Tsu A book about jj / jujutstu,entertainment,15,5,fanf2,2026-09-23 20:25:46,0.3125,False
49802789,Show HN: InstinctFlash – High-Performance Serving Runtime for Robotics Models,entertainment,24,3,guanming0717,2026-09-23 20:25:46,0.12,False
49783133,Show HN: Mini-AGI – Dynamic continual learning model trained on 8GB VRAM,entertainment,276,75,volotat,2026-09-23 20:25:46,0.27075812274368233,True
49802776,"Show HN: OpenMCP – An open, code-first fork of the Model Context Protocol",entertainment,8,1,enclawed,2026-09-23 20:25:46,0.1111111111111111,False
49797139,Apple Music to open concert venue in Battersea Power Station,entertainment,66,97,dabinat,2026-09-23 20:25:46,1.4477611940298507,False
49804217,Show HN: graf (1000x faster graphify in Rust),entertainment,10,3,ripped_britches,2026-09-23 20:25:46,0.2727272727272727,False
49777539,Show HN: Radius – A Meetup.com Alternative,entertainment,164,81,radius89,2026-09-23 20:25:46,0.4909090909090909,True
49804831,German court rules Meta liable for scam ads on Facebook and Instagram,entertainment,50,8,buzer,2026-09-23 20:25:46,0.1568627450980392,False
49786419,Show HN: Lossless-memory – a personal AI memory that never summarizes,entertainment,66,29,aru-labs,2026-09-23 20:25:46,0.43283582089552236,False
49765354,Show HN: Sigabrt.dev – cronjob monitor with an SSH TUI,entertainment,81,35,4815162342,2026-09-23 20:25:46,0.4268292682926829,False
49789066,"Show HN: Vellum, the best diagram editor you'll ever use",entertainment,24,15,JoshJamesAnthon,2026-09-23 20:25:46,0.6,False
49780849,Show HN: jevals – replacing LLM judges with typed Jev decisions,entertainment,46,6,gbayomi,2026-09-23 20:25:46,0.1276595744680851,False
